title,,,,,,,,,,,,,,,,,publish_time
Individual sequences in large sets of gene sequences may be distinguished efficiently by combinations of shared sub-sequences,,,,,,,,,,,,,,,,,4/8/2005
Absence of association between angiotensin converting enzyme polymorphism and development of adult respiratory distress syndrome in patients with severe acute respiratory syndrome: a case control study,,,,,,,,,,,,,,,,,4/9/2005
A Three-Stemmed mRNA Pseudoknot in the SARS Coronavirus Frameshift Signal,,,,,,,,,,,,,,,,,5/17/2005
The Microbial Rosetta Stone Database: A compilation of global and emerging infectious microorganisms and bioterrorist threat agents,,,,,,,,,,,,,,,,,4/25/2005
HIV Epidemiology in Africa: Weak Variables and Tendentiousness Generate Wobbly Conclusions,,,,,,,,,,,,,,,,,5/31/2005
Pseudoknots: RNA Structures with Diverse Functions,,,,,,,,,,,,,,,,,6/14/2005
Integration of the Gene Ontology into an object-oriented architecture,,,,,,,,,,,,,,,,,5/10/2005
Software for optimization of SNP and PCR-RFLP genotyping to discriminate many genomes with the fewest assays,,,,,,,,,,,,,,,,,5/16/2005
CXCR2 is critical for dsRNA-induced lung injury: relevance to viral lung infection,,,,,,,,,,,,,,,,,5/28/2005
Persistence of lung inflammation and lung cytokines with high-resolution CT abnormalities during recovery from SARS,,,,,,,,,,,,,,,,,5/11/2005
A Severe Acute Respiratory Syndrome extranet: supporting local communication and information dissemination,,,,,,,,,,,,,,,,,6/20/2005
Peptide inhibitors of dengue virus and West Nile virus infectivity,,,,,,,,,,,,,,,,,6/1/2005
Appropriate Models for the Management of Infectious Diseases,,,,,,,,,,,,,,,,,7/26/2005
Information theory-based algorithm for in silico prediction of PCR products with whole genomic sequences as templates,,,,,,,,,,,,,,,,,7/26/2005
Genetic lesions within the 3a gene of SARS-CoV,,,,,,,,,,,,,,,,,6/20/2005
Conservation of pregnancy-specific glycoprotein (PSG) N domains following independent expansions of the gene families in rodents and primates,,,,,,,,,,,,,,,,,6/29/2005
Croup Is Associated with the Novel Coronavirus NL63,,,,,,,,,,,,,,,,,8/23/2005
G0/G1 arrest and apoptosis induced by SARS-CoV 3b protein in transfected cells,,,,,,,,,,,,,,,,,8/17/2005
Phosphatidylserine treatment relieves the block to retrovirus infection of cells expressing glycosylated virus receptors,,,,,,,,,,,,,,,,,8/9/2005
A new paradigm in respiratory hygiene: increasing the cohesivity of airway secretions to improve cough interaction and reduce aerosol dispersion,,,,,,,,,,,,,,,,,9/2/2005
The health impacts of globalisation: a conceptual framework,,,,,,,,,,,,,,,,,8/3/2005
The potential impact of the next influenza pandemic on a national primary care medical workforce,,,,,,,,,,,,,,,,,8/11/2005
Macrophages and cytokines in the early defence against herpes simplex virus,,,,,,,,,,,,,,,,,8/3/2005
"Patterns of HIV prevalence among injecting drug users in the cross-border area of Lang Son Province, Vietnam, and Ning Ming County, Guangxi Province, China",,,,,,,,,,,,,,,,,8/24/2005
Chloroquine is a potent inhibitor of SARS coronavirus infection and spread,,,,,,,,,,,,,,,,,8/22/2005
The SARS Coronavirus S Glycoprotein Receptor Binding Domain: Fine Mapping and Functional Characterization,,,,,,,,,,,,,,,,,8/25/2005
E-Predict: a computational strategy for species identification based on observed DNA microarray hybridization patterns,,,,,,,,,,,,,,,,,8/30/2005
"Web GIS in practice III: creating a simple interactive map of England's Strategic Health Authorities using Google Maps API, Google Earth KML, and MSN Virtual Earth Map Control",,,,,,,,,,,,,,,,,9/21/2005
Understanding the Spatial Clustering of Severe Acute Respiratory Syndrome (SARS) in Hong Kong,,,,,,,,,,,,,,,,,7/27/2004
A combined nucleocapsid vaccine induces vigorous SARS-CD8+ T-cell immune responses,,,,,,,,,,,,,,,,,8/22/2005
The Application of the Haddon Matrix to Public Health Readiness and Response Planning,,,,,,,,,,,,,,,,,2/2/2005
"Replicative homeostasis II: Influence of polymerase fidelity on RNA virus quasispecies biology: Implications for immune recognition, viral autoimmunity and other ""virus receptor"" diseases",,,,,,,,,,,,,,,,,8/22/2005
Generation of human antibody fragments recognizing distinct epitopes of the nucleocapsid (N) SARS-CoV protein using a phage display approach,,,,,,,,,,,,,,,,,9/19/2005
Molecular signature of clinical severity in recovering patients with severe acute respiratory syndrome coronavirus (SARS-CoV),,,,,,,,,,,,,,,,,9/21/2005
The effects of injection of bovine vaccine into a human digit: a case report,,,,,,,,,,,,,,,,,10/11/2005
Pneumothorax and mortality in the mechanically ventilated SARS patients: a prospective clinical study,,,,,,,,,,,,,,,,,6/22/2005
Using autoregressive integrated moving average (ARIMA) models to predict and monitor the number of beds occupied during a SARS outbreak in a tertiary hospital in Singapore,,,,,,,,,,,,,,,,,5/11/2005
A simple and rapid approach for screening of SARS-coronavirus genotypes: an evaluation study,,,,,,,,,,,,,,,,,10/18/2005
An ontology for immune epitopes: application to the design of a broad scope database of immune reactivities,,,,,,,,,,,,,,,,,9/20/2005
Limits to Forecasting Precision for Outbreaks of Directly Transmitted Diseases,,,,,,,,,,,,,,,,,11/22/2005
Communication of bed allocation decisions in a critical care unit and accountability for reasonableness,,,,,,,,,,,,,,,,,10/31/2005
Functional and Genetic Analysis of Coronavirus Replicase-Transcriptase Proteins,,,,,,,,,,,,,,,,,12/9/2005
RNA Viral Community in Human Feces: Prevalence of Plant Pathogenic Viruses,,,,,,,,,,,,,,,,,12/20/2005
Evaluation of potential reference genes in real-time RT-PCR studies of Atlantic salmon,,,,,,,,,,,,,,,,,11/17/2005
Selection of reference genes for quantitative real-time PCR in bovine preimplantation embryos,,,,,,,,,,,,,,,,,12/3/2005
The New International Health Regulations and the Federalism Dilemma,,,,,,,,,,,,,,,,,12/20/2005
Proinflammatory cytokine responses induced by influenza A (H5N1) viruses in primary human alveolar and bronchial epithelial cells,,,,,,,,,,,,,,,,,11/11/2005
Promoter Variation in the DC-SIGN–Encoding Gene CD209 Is Associated with Tuberculosis,,,,,,,,,,,,,,,,,1/3/2006
Time Course and Cellular Localization of SARS-CoV Nucleoprotein and RNA in Lungs from Fatal Cases of SARS,,,,,,,,,,,,,,,,,1/3/2006
Lung Infection—A Public Health Priority,,,,,,,,,,,,,,,,,1/17/2006
Bioethical Implications of Globalization: An International Consortium Project of the European Commission,,,,,,,,,,,,,,,,,1/24/2006
Public awareness of risk factors for cancer among the Japanese general population: A population-based survey,,,,,,,,,,,,,,,,,1/10/2006
ZCURVE_V: a new self-training system for recognizing protein-coding genes in viral and phage genomes,,,,,,,,,,,,,,,,,1/10/2006
Evidence of host-virus co-evolution in tetranucleotide usage patterns of bacteriophages and eukaryotic viruses,,,,,,,,,,,,,,,,,1/18/2006
Sequence specific visual detection of LAMP reactions by addition of cationic polymers,,,,,,,,,,,,,,,,,1/10/2006
Automated extraction protocol for quantification of SARS-Coronavirus RNA in serum: an evaluation study,,,,,,,,,,,,,,,,,2/9/2006
The Scientific Response to a Pandemic,,,,,,,,,,,,,,,,,2/24/2006
Correlation between the presence of neutralizing antibodies against porcine circovirus 2 (PCV2) and protection against replication of the virus and development of PCV2-associated disease,,,,,,,,,,,,,,,,,1/30/2006
Epstein-barr virus induced cellular changes in nasal mucosa,,,,,,,,,,,,,,,,,2/1/2006
Virus-mediated autoimmunity in Multiple Sclerosis,,,,,,,,,,,,,,,,,2/19/2006
"Globalization, migration health, and educational preparation for transnational medical encounters",,,,,,,,,,,,,,,,,1/30/2006
Developing nucleic acid-based electrical detection systems,,,,,,,,,,,,,,,,,3/2/2006
Specific detection of H5N1 avian influenza A virus in field specimens by a one-step RT-PCR assay,,,,,,,,,,,,,,,,,3/2/2006
"Using Ontario's ""Telehealth"" health telephone helpline as an early-warning system: a study protocol",,,,,,,,,,,,,,,,,2/15/2006
Nonhuman Primate Models for SARS,,,,,,,,,,,,,,,,,4/18/2006
Prions Adhere to Soil Minerals and Remain Infectious,,,,,,,,,,,,,,,,,4/14/2006
Inhibition of cytokine gene expression and induction of chemokine genes in non-lymphatic cells infected with SARS coronavirus,,,,,,,,,,,,,,,,,3/29/2006
Heterologous expression of Brucella abortus GroEL heat-shock protein in Lactococcus lactis,,,,,,,,,,,,,,,,,3/23/2006
Delaying the International Spread of Pandemic Influenza,,,,,,,,,,,,,,,,,5/2/2006
Identifying strategies to improve access to credible and relevant information for public health professionals: a qualitative study,,,,,,,,,,,,,,,,,4/5/2006
On pandemics and the duty to care: whose duty? who cares?,,,,,,,,,,,,,,,,,4/20/2006
Insertional protein engineering for analytical molecular sensing,,,,,,,,,,,,,,,,,4/3/2006
Immune Protection of Nonhuman Primates against Ebola Virus with Single Low-Dose Adenovirus Vectors Encoding Modified GPs,,,,,,,,,,,,,,,,,5/16/2006
The interferon gamma gene polymorphism +874 A/T is associated with severe acute respiratory syndrome,,,,,,,,,,,,,,,,,5/4/2006
Microarray-based identification of antigenic variants of foot-and-mouth disease virus: a bioinformatics quality assessment,,,,,,,,,,,,,,,,,5/18/2006
Markers of exacerbation severity in chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,5/10/2006
In vitro inhibition of human influenza A virus replication by chloroquine,,,,,,,,,,,,,,,,,5/29/2006
Amphotropic murine leukemia virus is preferentially attached to cholesterol-rich microdomains after binding to mouse fibroblasts,,,,,,,,,,,,,,,,,4/2/2006
Human Monoclonal Antibody Combination against SARS Coronavirus: Synergy and Coverage of Escape Mutants,,,,,,,,,,,,,,,,,7/4/2006
Selection of a set of reliable reference genes for quantitative real-time PCR in normal equine skin and in equine sarcoids,,,,,,,,,,,,,,,,,4/27/2006
Combined fluticasone propionate and salmeterol reduces RSV infection more effectively than either of them alone in allergen-sensitized mice,,,,,,,,,,,,,,,,,5/23/2006
"Antibiotic resistance as a global threat: Evidence from China, Kuwait and the United States",,,,,,,,,,,,,,,,,4/7/2006
The basic principles of migration health: Population mobility and gaps in disease prevalence,,,,,,,,,,,,,,,,,5/4/2006
Quantitative prediction of mouse class I MHC peptide binding affinity using support vector machine regression (SVR) models,,,,,,,,,,,,,,,,,3/31/2006
Silencing Viral Infection,,,,,,,,,,,,,,,,,7/25/2006
Differentially profiling the low-expression transcriptomes of human hepatoma using a novel SSH/microarray approach,,,,,,,,,,,,,,,,,5/31/2006
Design of microarray probes for virus identification and detection of emerging viruses at the genus level,,,,,,,,,,,,,,,,,4/28/2006
"From Functional Genomics to Functional Immunomics: New Challenges, Old Problems, Big Rewards",,,,,,,,,,,,,,,,,7/28/2006
The role of single N-glycans in proteolytic processing and cell surface transport of the Lassa virus glycoprotein GP-C,,,,,,,,,,,,,,,,,5/31/2006
"The synergistic effect of IFN-α and IFN-γ against HSV-2 replication in Vero cells is not interfered by the plant antiviral 1-cinnamoyl-3, 11-dihydroxymeliacarpin",,,,,,,,,,,,,,,,,6/13/2006
CD147 overexpression on synoviocytes in rheumatoid arthritis enhances matrix metalloproteinase production and invasiveness of synoviocytes,,,,,,,,,,,,,,,,,2/8/2006
Streptococcus pneumoniae induced c-Jun-N-terminal kinase- and AP-1 -dependent IL-8 release by lung epithelial BEAS-2B cells,,,,,,,,,,,,,,,,,7/12/2006
Lung epithelium as a sentinel and effector system in pneumonia – molecular mechanisms of pathogen recognition and signal transduction,,,,,,,,,,,,,,,,,7/8/2006
Genome Annotation Transfer Utility (GATU): rapid annotation of viral genomes using a closely related reference genome,,,,,,,,,,,,,,,,,6/13/2006
Reliability of case definitions for public health surveillance assessed by Round-Robin test methodology,,,,,,,,,,,,,,,,,5/10/2006
Live bacterial vaccines – a review and identification of potential hazards,,,,,,,,,,,,,,,,,6/23/2006
Association of SARS susceptibility with single nucleic acid polymorphisms of OAS1 and MxA genes: a case-control study,,,,,,,,,,,,,,,,,7/6/2006
Frequent detection of bocavirus DNA in German children with respiratory tract infections,,,,,,,,,,,,,,,,,7/11/2006
Using simulation for training and to change protocol during the outbreak of severe acute respiratory syndrome,,,,,,,,,,,,,,,,,11/24/2005
Diagnostic value of real-time polymerase chain reaction to detect viruses in young children admitted to the paediatric intensive care unit with lower respiratory tract infection,,,,,,,,,,,,,,,,,4/12/2006
Model-Based Design of Growth-Attenuated Viruses,,,,,,,,,,,,,,,,,9/1/2006
Hospice utilization during the SARS outbreak in Taiwan,,,,,,,,,,,,,,,,,8/4/2006
"Ethnoveterinary medicines used for horses in Trinidad and in British Columbia, Canada",,,,,,,,,,,,,,,,,8/7/2006
Surveillance recommendations based on an exploratory analysis of respiratory syncytial virus reports derived from the European Influenza Surveillance System,,,,,,,,,,,,,,,,,8/9/2006
"Factors associated with nosocomial SARS-CoV transmission among healthcare workers in Hanoi, Vietnam, 2003",,,,,,,,,,,,,,,,,8/14/2006
Mixing patterns and the spread of close-contact infectious diseases,,,,,,,,,,,,,,,,,8/14/2006
Caveolin-1 and -2 in airway epithelium: expression and in situ association as detected by FRET-CLSM,,,,,,,,,,,,,,,,,8/11/2006
Genome-wide gene expression profiling of human mast cells stimulated by IgE or FcεRI-aggregation reveals a complex network of genes involved in inflammatory responses,,,,,,,,,,,,,,,,,8/16/2006
How long do nosocomial pathogens persist on inanimate surfaces? A systematic review,,,,,,,,,,,,,,,,,8/16/2006
SARS: Systematic Review of Treatment Effects,,,,,,,,,,,,,,,,,9/12/2006
A New Arthritis Therapy with Oxidative Burst Inducers,,,,,,,,,,,,,,,,,9/12/2006
Empirical Evidence for the Effect of Airline Travel on Inter-Regional Influenza Spread in the United States,,,,,,,,,,,,,,,,,9/12/2006
Natural products that reduce rotavirus infectivity identified by a cell-based moderate-throughput screening assay,,,,,,,,,,,,,,,,,9/1/2006
Climate Change and Human Health Impacts in the United States: An Update on the Results of the U.S. National Assessment,,,,,,,,,,,,,,,,,5/18/2006
Are Nonhuman Primates Good Models for SARS?,,,,,,,,,,,,,,,,,9/26/2006
S1 gene sequence analysis of a nephropathogenic strain of avian infectious bronchitis virus in Egypt,,,,,,,,,,,,,,,,,9/20/2006
Individual freedom versus collective responsibility: too many rights make a wrong?,,,,,,,,,,,,,,,,,10/2/2006
Validation of the Provincial Transfer Authorization Centre database: a comprehensive database containing records of all inter-facility patient transfers in the province of Ontario,,,,,,,,,,,,,,,,,10/6/2006
Adaptive evolution of the spike gene of SARS coronavirus: changes in positively selected sites in different epidemic groups,,,,,,,,,,,,,,,,,10/4/2006
Antisense-induced ribosomal frameshifting,,,,,,,,,,,,,,,,,8/18/2006
The gene of an archaeal α-l-fucosidase is expressed by translational frameshifting,,,,,,,,,,,,,,,,,8/18/2006
Role of RNA helicases in HIV-1 replication,,,,,,,,,,,,,,,,,8/25/2006
MIMOX: a web tool for phage display based epitope mapping,,,,,,,,,,,,,,,,,10/12/2006
Global response to pandemic flu: more research needed on a critical front,,,,,,,,,,,,,,,,,10/13/2006
A super-spreading ewe infects hundreds with Q fever at a farmers' market in Germany,,,,,,,,,,,,,,,,,10/6/2006
Distributed data processing for public health surveillance,,,,,,,,,,,,,,,,,9/19/2006
Clinical and epidemiological predictors of transmission in Severe Acute Respiratory Syndrome (SARS),,,,,,,,,,,,,,,,,10/18/2006
Amino acid residues critical for RNA-binding in the N-terminal domain of the nucleocapsid protein are essential determinants for the infectivity of coronavirus in cultured cells,,,,,,,,,,,,,,,,,9/13/2006
Immunogenicity of a polyvalent HIV-1 candidate vaccine based on fourteen wild type gp120 proteins in golden hamsters,,,,,,,,,,,,,,,,,10/31/2006
A DNA biochip for on-the-spot multiplexed pathogen identification,,,,,,,,,,,,,,,,,9/25/2006
Structure-based discovery of inhibitors of the YycG histidine kinase: New chemical leads to combat Staphylococcus epidermidis infections,,,,,,,,,,,,,,,,,11/10/2006
PATRIC: The VBI PathoSystems Resource Integration Center,,,,,,,,,,,,,,,,,11/16/2006
Distinct cellular responses differentiating alcohol- and hepatitis C virus-induced liver cirrhosis,,,,,,,,,,,,,,,,,11/22/2006
"Improving the use of research evidence in guideline development: 13. Applicability, transferability and adaptation",,,,,,,,,,,,,,,,,12/8/2006
Modeling early recovery of physical function following hip and knee arthroplasty,,,,,,,,,,,,,,,,,12/11/2006
Vaccine Efficacy in Senescent Mice Challenged with Recombinant SARS-CoV Bearing Epidemic and Zoonotic Spike Variants,,,,,,,,,,,,,,,,,12/26/2006
Epidemiology and clinical outcome of virus-positive respiratory samples in ventilated patients: a prospective cohort study,,,,,,,,,,,,,,,,,10/5/2006
MMDB: annotating protein sequences with Entrez's 3D-structure database,,,,,,,,,,,,,,,,,11/29/2006
Societal Learning in Epidemics: Intervention Effectiveness during the 2003 SARS Outbreak in Singapore,,,,,,,,,,,,,,,,,12/20/2006
Association and Host Selectivity in Multi-Host Pathogens,,,,,,,,,,,,,,,,,12/20/2006
Long-Term Persistence of Robust Antibody and Cytotoxic T Cell Responses in Recovered Patients Infected with SARS Coronavirus,,,,,,,,,,,,,,,,,12/20/2006
The Effectiveness of Contact Tracing in Emerging Epidemics,,,,,,,,,,,,,,,,,12/20/2006
DNA Encoding an HIV-1 Gag/Human Lysosome-Associated Membrane Protein-1 Chimera Elicits a Broad Cellular and Humoral Immune Response in Rhesus Macaques,,,,,,,,,,,,,,,,,12/27/2006
The effect of travel restrictions on the spread of a moderately contagious disease,,,,,,,,,,,,,,,,,12/14/2006
The Waiting Time for Inter-Country Spread of Pandemic Influenza,,,,,,,,,,,,,,,,,1/3/2007
"Curation of viral genomes: challenges, applications and the way forward",,,,,,,,,,,,,,,,,12/18/2006
Influenza pandemic and professional duty: family or patients first? A survey of hospital employees,,,,,,,,,,,,,,,,,12/28/2006
Mycoplasma alkalescens demonstrated in bronchoalveolar lavage of cattle in Denmark,,,,,,,,,,,,,,,,,1/4/2007
"Proteomic Profiling of the Amniotic Fluid to Detect Inflammation, Infection, and Neonatal Sepsis",,,,,,,,,,,,,,,,,1/16/2007
Human coronavirus 229E encodes a single ORF4 protein between the spike and the envelope genes,,,,,,,,,,,,,,,,,12/28/2006
Neutralizing Antibody Fails to Impact the Course of Ebola Virus Infection in Monkeys,,,,,,,,,,,,,,,,,1/19/2007
XDR-TB in South Africa: No Time for Denial or Complacency,,,,,,,,,,,,,,,,,1/23/2007
Genome Information Broker for Viruses (GIB-V): database for comparative analysis of virus genomes,,,,,,,,,,,,,,,,,12/7/2006
GraphDNA: a Java program for graphical display of DNA composition analyses,,,,,,,,,,,,,,,,,1/23/2007
"Maximum Likelihood Estimation of the Negative Binomial Dispersion Parameter for Highly Overdispersed Data, with Applications to Infectious Diseases",,,,,,,,,,,,,,,,,2/14/2007
ProCAT: a data analysis approach for protein microarrays,,,,,,,,,,,,,,,,,11/16/2006
Quantification of human bocavirus in lower respiratory tract infections in China,,,,,,,,,,,,,,,,,1/31/2007
"A perspective on microarrays: current applications, pitfalls, and potential uses",,,,,,,,,,,,,,,,,1/25/2007
Characterization of a Structural Intermediate of Flavivirus Membrane Fusion,,,,,,,,,,,,,,,,,2/16/2007
Appropriate 'housekeeping' genes for use in expression profiling the effects of environmental estrogens in fish,,,,,,,,,,,,,,,,,2/8/2007
"Identification of functional, endogenous programmed −1 ribosomal frameshift signals in the genome of Saccharomyces cerevisiae",,,,,,,,,,,,,,,,,12/7/2006
Positional clustering improves computational binding site detection and identifies novel cis-regulatory sites in mammalian GABA(A) receptor subunit genes,,,,,,,,,,,,,,,,,1/3/2007
Pathogeneses of respiratory infections with virulent and attenuated vaccinia viruses,,,,,,,,,,,,,,,,,2/27/2007
Feline aminopeptidase N is not a functional receptor for avian infectious bronchitis virus,,,,,,,,,,,,,,,,,2/26/2007
Different rates of (non-)synonymous mutations in astrovirus genes; correlation with gene function,,,,,,,,,,,,,,,,,3/7/2007
The Transmissibility of Highly Pathogenic Avian Influenza in Commercial Poultry in Industrialised Countries,,,,,,,,,,,,,,,,,4/4/2007
"Ethnoveterinary medicines used for ruminants in British Columbia, Canada",,,,,,,,,,,,,,,,,2/26/2007
The influenza pandemic preparedness planning tool InfluSim,,,,,,,,,,,,,,,,,3/13/2007
Whole genome molecular phylogeny of large dsDNA viruses using composition vector method,,,,,,,,,,,,,,,,,3/15/2007
Conserved aspartic acid 233 and alanine 231 are not required for poliovirus polymerase function in replicons,,,,,,,,,,,,,,,,,3/12/2007
Anticipated and current preventive behaviors in response to an anticipated human-to-human H5N1 epidemic in the Hong Kong Chinese general population,,,,,,,,,,,,,,,,,3/15/2007
"Biodiversity, traditional medicine and public health: where do they meet?",,,,,,,,,,,,,,,,,3/21/2007
Sex- and age-dependent association of SLC11A1 polymorphisms with tuberculosis in Chinese: a case control study,,,,,,,,,,,,,,,,,3/19/2007
"ElaD, a Deubiquitinating Protease Expressed by E. coli",,,,,,,,,,,,,,,,,4/18/2007
Using patient-collected clinical samples and sera to detect and quantify the severe acute respiratory syndrome coronavirus (SARS-CoV),,,,,,,,,,,,,,,,,3/27/2007
A focus reduction neutralization assay for hepatitis C virus neutralizing antibodies,,,,,,,,,,,,,,,,,3/30/2007
High level expression of soluble glycoproteins in the allantoic fluid of embryonated chicken eggs using a Sendai virus minigenome system,,,,,,,,,,,,,,,,,4/5/2007
Incorporating indel information into phylogeny estimation for rapidly emerging pathogens,,,,,,,,,,,,,,,,,3/14/2007
"Application of Broad-Spectrum, Sequence-Based Pathogen Identification in an Urban Population",,,,,,,,,,,,,,,,,5/9/2007
Identification of a Novel Polyomavirus from Patients with Acute Respiratory Tract Infections,,,,,,,,,,,,,,,,,5/4/2007
Analysis of Intraviral Protein-Protein Interactions of the SARS Coronavirus ORFeome,,,,,,,,,,,,,,,,,5/23/2007
Dual priming oligonucleotide system for the multiplex detection of respiratory viruses and SNP genotyping of CYP2C19 gene,,,,,,,,,,,,,,,,,2/7/2007
Global Surveillance of Emerging Influenza Virus Genotypes by Mass Spectrometry,,,,,,,,,,,,,,,,,5/30/2007
Transmission Parameters of the 2001 Foot and Mouth Epidemic in Great Britain,,,,,,,,,,,,,,,,,6/6/2007
Transparent Development of the WHO Rapid Advice Guidelines,,,,,,,,,,,,,,,,,5/29/2007
Different pH requirements are associated with divergent inhibitory effects of chloroquine on human and avian influenza A viruses,,,,,,,,,,,,,,,,,5/3/2007
IFNG +874T/A polymorphism is not associated with American tegumentary leishmaniasis susceptibility but can influence Leishmania induced IFN-γ production,,,,,,,,,,,,,,,,,4/24/2007
Prophylactic and Therapeutic Efficacy of Human Monoclonal Antibodies against H5N1 Influenza,,,,,,,,,,,,,,,,,5/29/2007
How Is WHO Responding to Global Public Health Threats?,,,,,,,,,,,,,,,,,5/29/2007
Arthritis suppression by NADPH activation operates through an interferon-β pathway,,,,,,,,,,,,,,,,,5/9/2007
Expression stability of commonly used reference genes in canine articular connective tissues,,,,,,,,,,,,,,,,,5/7/2007
Accurate Reproduction of 161 Small-Molecule Complex Crystal Structures using the EUDOC Program: Expanding the Use of EUDOC to Supramolecular Chemistry,,,,,,,,,,,,,,,,,6/13/2007
"Time variations in the transmissibility of pandemic influenza in Prussia, Germany, from 1918–19",,,,,,,,,,,,,,,,,6/4/2007
Cyclooxygenase activity is important for efficient replication of mouse hepatitis virus at an early stage of infection,,,,,,,,,,,,,,,,,6/7/2007
Designing and conducting tabletop exercises to assess public health preparedness for manmade and naturally occurring biological threats,,,,,,,,,,,,,,,,,5/29/2007
Population mortality during the outbreak of Severe Acute Respiratory Syndrome in Toronto,,,,,,,,,,,,,,,,,5/29/2007
An Epidemiological Network Model for Disease Outbreak Detection,,,,,,,,,,,,,,,,,6/26/2007
The association of RANTES polymorphism with severe acute respiratory syndrome in Hong Kong and Beijing Chinese,,,,,,,,,,,,,,,,,6/1/2007
Transfusion-transmitted infections,,,,,,,,,,,,,,,,,6/6/2007
Transcript-level annotation of Affymetrix probesets improves the interpretation of gene expression data,,,,,,,,,,,,,,,,,6/11/2007
Selective redox regulation of cytokine receptor signaling by extracellular thioredoxin-1,,,,,,,,,,,,,,,,,7/11/2007
